date,totals
2015-08-01,87429
2015-08-01,40519
2015-08-01,1175
2015-08-01,9792
2015-08-01,94314
2015-08-01,66212
2015-08-01,8592
2015-08-01,13366
2015-08-01,286463
2015-08-01,30880
2015-08-01,7283
2015-08-01,8606
2015-08-01,12792
2015-08-01,33600
2015-08-01,39036
2015-08-01,18376
2015-08-01,40259
2015-08-01,10130
2015-08-01,5418
2015-08-01,8818
2015-08-01,10185
2015-08-01,6537
2015-08-01,11179
2015-08-01,23978
2015-08-01,39565
2015-08-01,5148
2015-08-01,51999
2015-08-01,26376
2015-08-01,19393
2015-08-01,69162
2015-08-01,1477
2015-08-01,25047
2015-08-01,7369
2015-08-01,49128
2015-08-01,122233
2015-08-01,19717
2015-08-01,2466
2015-08-01,32147
2015-08-01,36031
2015-08-01,16720
2015-08-01,28396
2015-08-01,4839
2015-09-01,56228
2015-09-01,6195
2015-09-01,25464
2015-09-01,21834
2015-09-01,125441
2015-09-01,34229
2015-09-01,21775
2015-09-01,3360
2015-09-01,41
2015-09-01,85246
2015-09-01,41685
2015-09-01,1270
2015-09-01,11078
2015-09-01,94476
2015-09-01,83928
2015-09-01,9865
2015-09-01,12731
2015-09-01,262693
2015-09-01,39053
2015-09-01,8648
2015-09-01,8912
2015-09-01,12092
2015-09-01,48331
2015-09-01,43688
2015-09-01,23398
2015-09-01,40511
2015-09-01,11302
2015-09-01,5433
2015-09-01,9821
2015-09-01,10094
2015-09-01,6056
2015-09-01,11570
2015-09-01,28204
2015-09-01,42348
2015-09-01,5619
2015-09-01,53928
2015-09-01,25154
2015-09-01,21650
2015-09-01,70156
2015-09-01,1566
2015-09-01,24395
2015-09-01,7949
2015-09-01,52313
2015-09-01,122503
2015-09-01,22343
2015-09-01,2681
2015-09-01,34030
2015-09-01,40441
2015-09-01,17801
2015-09-01,30630
2015-09-01,4968
2015-10-01,61156
2015-10-01,9941
2015-10-01,26501
2015-10-01,23409
2015-10-01,163211
2015-10-01,37785
2015-10-01,23918
2015-10-01,4052
2015-10-01,76
2015-10-01,94518
2015-10-01,45420
2015-10-01,1380
2015-10-01,11986
2015-10-01,95886
2015-10-01,100220
2015-10-01,10725
2015-10-01,14469
2015-10-01,276162
2015-10-01,33300
2015-10-01,11245
2015-10-01,11832
2015-10-01,13947
2015-10-01,43822
2015-10-01,50060
2015-10-01,20862
2015-10-01,49890
2015-10-01,12988
2015-10-01,6880
2015-10-01,9456
2015-10-01,11664
2015-10-01,7315
2015-10-01,12381
2015-10-01,33282
2015-10-01,46020
2015-10-01,7547
2015-10-01,62456
2015-10-01,28582
2015-10-01,25405
2015-10-01,82552
2015-10-01,1944
2015-10-01,26030
2015-10-01,10920
2015-10-01,51134
2015-10-01,126327
2015-10-01,19046
2015-10-01,3259
2015-10-01,38959
2015-10-01,45061
2015-10-01,21388
2015-10-01,36111
2015-10-01,5166
2015-11-01,71137
2015-11-01,7095
2015-11-01,27087
2015-11-01,25048
2015-11-01,180116
2015-11-01,42271
2015-11-01,26438
2015-11-01,5040
2015-11-01,64
2015-11-01,103532
2015-11-01,50795
2015-11-01,1252
2015-11-01,11925
2015-11-01,129861
2015-11-01,130333
2015-11-01,13794
2015-11-01,18433
2015-11-01,295891
2015-11-01,37752
2015-11-01,9297
2015-11-01,13463
2015-11-01,15885
